INDUS,NOX,RM,AGE,TAX,PTRATIO,LSTAT,MEDV
18.1,0.713,6.701,90.0,666.0,20.2,16.42,16.4
18.1,0.713,6.376,88.4,666.0,20.2,14.65,17.7
18.1,0.713,6.317,83.0,666.0,20.2,13.99,19.5
18.1,0.713,6.513,89.9,666.0,20.2,10.29,20.2
18.1,0.655,6.209,65.4,666.0,20.2,13.22,21.4
18.1,0.655,5.759,48.2,666.0,20.2,14.13,19.9
18.1,0.655,5.952,84.7,666.0,20.2,17.15,19.0
18.1,0.584,6.003,94.5,666.0,20.2,21.32,19.1
18.1,0.58,5.926,71.0,666.0,20.2,18.13,19.1
18.1,0.58,5.713,56.7,666.0,20.2,14.76,20.1
18.1,0.58,6.167,84.0,666.0,20.2,16.29,19.9
18.1,0.532,6.229,90.7,666.0,20.2,12.87,19.6
18.1,0.58,6.437,75.0,666.0,20.2,14.36,23.2
18.1,0.614,6.98,67.6,666.0,20.2,11.66,29.8
18.1,0.584,5.427,95.4,666.0,20.2,18.14,13.8
18.1,0.584,6.162,97.4,666.0,20.2,24.1,13.3
18.1,0.614,6.484,93.6,666.0,20.2,18.68,16.7
18.1,0.614,5.304,97.3,666.0,20.2,24.91,12.0
18.1,0.614,6.185,96.7,666.0,20.2,18.03,14.6
18.1,0.614,6.229,88.0,666.0,20.2,13.11,21.4
18.1,0.532,6.242,64.7,666.0,20.2,10.74,23.0
18.1,0.532,6.75,74.9,666.0,20.2,7.74,23.7
18.1,0.532,7.061,77.0,666.0,20.2,7.01,25.0
18.1,0.532,5.762,40.3,666.0,20.2,10.42,21.8
18.1,0.583,5.871,41.9,666.0,20.2,13.34,20.6
18.1,0.583,6.312,51.9,666.0,20.2,10.58,21.2
18.1,0.583,6.114,79.8,666.0,20.2,14.98,19.1
18.1,0.583,5.905,53.2,666.0,20.2,11.45,20.6
27.74,0.609,5.454,92.7,711.0,20.1,18.06,15.2
27.74,0.609,5.414,98.3,711.0,20.1,23.97,7.0
27.74,0.609,5.093,98.0,711.0,20.1,29.68,8.1
27.74,0.609,5.983,98.8,711.0,20.1,18.07,13.6
27.74,0.609,5.983,83.5,711.0,20.1,13.35,20.1
9.69,0.585,5.707,54.0,391.0,19.2,12.01,21.8
9.69,0.585,5.926,42.6,391.0,19.2,13.59,24.5
9.69,0.585,5.67,28.8,391.0,19.2,17.6,23.1
9.69,0.585,5.39,72.9,391.0,19.2,21.14,19.7
9.69,0.585,5.794,70.6,391.0,19.2,14.1,18.3
9.69,0.585,6.019,65.3,391.0,19.2,12.92,21.2
9.69,0.585,5.569,73.5,391.0,19.2,15.1,17.5
9.69,0.585,6.027,79.7,391.0,19.2,14.33,16.8
11.93,0.573,6.593,69.1,273.0,21.0,9.67,22.4
11.93,0.573,6.12,76.7,273.0,21.0,9.08,20.6
11.93,0.573,6.976,91.0,273.0,21.0,5.64,23.9
11.93,0.573,6.794,89.3,273.0,21.0,6.48,22.0
11.93,0.573,6.03,80.8,273.0,21.0,7.88,11.9
